Timeslot,GridUsage,SolarUsage,SolarBatteryUsage
332,1,137.857,0
333,1,153,16.3281
334,1,151,2.05017
335,1,87.184,0
336,1,141,12.0502
337,1,110.575,0
338,1,98.4121,0
339,1,127,10.857
340,1,98.4121,0
341,1,121,16.857
342,1,117,36.0502
343,1,113,24.857
344,1,108,2.57538
345,1,106,4.57538
346,1,98.4121,0
347,1,101,9.57538
348,1,98,0.412109
349,1,87.184,0
350,1,87.184,0
351,1,76.8536,0
352,1,87,11.4121
353,1,84,3.184
354,1,76.8536,0
355,1,76.8536,0
356,1,76,0.853641
357,1,75,1.85364
358,1,72,26.4121
359,1,70,6.85364
360,1,58.7365,0
361,1,66,1.38363
362,1,62,5.38363
363,1,50.875,0
364,1,50.875,0
365,1,53,5.73655
366,1,50,0.875
367,1,47,3.875
368,1,43.7616,0
369,1,37.3589,0
370,1,40,3.76158
371,1,31.6295,0
372,1,31.6295,0
373,1,26.536,0
374,1,29,81.5754
375,1,27,110.857
376,1,24,113.857
377,1,24,86.5754
378,1,22,54.8536
379,1,20,38.7365
380,1,19,134.05
381,1,17,14.6295
382,1,15,43.7365
383,1,14,4.10712
384,1,11,47.7365
385,1,10,21.6295
386,1,8,29.3589
387,1,6,20.536
388,1,5,32.3589
389,1,3,23.536
390,1,3,19.041
391,1,3,28.6295
392,1,2,29.6295
393,1,2,12.6969
394,1,2,29.6295
395,1,2,29.6295
396,1,2,24.536
397,1,1,17.1071
398,1,1,13.6969
399,1,1,49.875
400,1,1,49.875
401,1,1,49.875
402,1,0,76.8536
403,1,0,137.857
404,1,0,123.711
405,1,0,123.711
406,1,0,43.7616
407,1,0,50.875
408,1,0,76.8536
409,1,0,67.3836
410,1,0,76.8536
411,1,0,87.184
412,1,0,67.3836
413,1,0,76.8536
414,1,0,110.575
415,1,0,76.8536
416,1,0,76.8536
417,1,0,87.184
418,1,0,43.7616
419,1,0,67.3836
420,1,0,98.4121
421,1,0,50.875
422,1,0,67.3836
423,1,0,26.536
424,1,0,87.184
425,1,0,50.875
426,1,0,43.7616
427,1,0,43.7616
428,1,0,137.857
429,1,0,153.05
430,1,0,205.288
431,1,0,186.728
432,1,0,169.328
433,1,0,169.328
434,1,0,123.711
435,1,0,98.4121
436,1,0,110.575
437,1,0,123.711
438,1,0,110.575
439,1,0,110.575
440,1,0,87.184
441,1,0,110.575
442,1,0,123.711
443,1,0,76.8536
444,1,0,87.184
445,1,0,67.3836
446,1,0,123.711
447,1,0,110.575
448,1,0,87.184
449,1,0,87.184
450,1,0,31.6295
451,1,0,18.1071
452,1,0,67.3836
453,1,0,58.7365
454,1,0,58.7365
455,1,0,43.7616
456,1,0,50.875
457,1,0,186.728
458,1,0,225.045
459,1,0,137.857
460,1,0,186.728
461,1,0,291.871
462,1,0,268.299
463,1,0,246.036
464,1,0,67.3836
465,1,0,110.575
466,1,0,76.8536
467,1,0,76.8536
468,1,0,153.05
469,1,0,76.8536
470,1,0,87.184
471,1,0,98.4121
472,1,0,76.8536
473,1,0,87.184
474,1,0,137.857
475,1,0,110.575
476,1,0,87.184
477,1,0,110.575
478,1,0,123.711
479,1,0,37.3589
480,1,0,67.3836
481,1,0,50.875
482,1,0,67.3836
483,1,0,58.7365
484,1,0,26.536
485,1,0,50.875
486,1,0,205.288
487,1,0,316.79
488,1,0,169.328
489,1,0,225.045
490,1,0,246.036
491,1,0,291.871
492,1,0,316.79
493,1,0,123.711
494,1,0,153.05
495,1,0,87.184
496,1,0,98.4121
497,1,0,123.711
498,1,0,110.575
499,1,0,137.857
500,1,0,110.575
501,1,0,123.711
502,1,0,123.711
503,1,0,153.05
504,1,0,123.711
505,1,0,137.857
506,1,0,137.857
507,1,0,123.711
508,1,0,110.575
509,1,0,67.3836
510,1,0,50.875
511,1,0,50.875
512,1,0,58.7365
513,1,0,58.7365
514,1,0,58.7365
515,1,0,268.299
516,1,0,268.299
517,1,0,246.036
518,1,0,246.036
519,1,0,153.05
520,1,0,225.045
521,1,0,291.871
522,1,0,169.328
523,1,0,87.184
524,1,0,98.4121
525,1,0,123.711
526,1,0,137.857
527,1,0,98.4121
528,1,0,110.575
529,1,0,76.8536
530,1,0,137.857
531,1,0,98.4121
532,1,0,137.857
533,1,0,123.711
534,1,0,137.857
535,1,0,123.711
536,1,0,110.575
537,1,0,76.8536
538,1,0,137.857
539,1,0,67.3836
540,1,0,50.875
541,1,0,67.3836
542,1,0,67.3836
543,1,0,87.184
544,1,0,370.817
545,1,0,246.036
546,1,0,291.871
547,1,0,316.79
548,1,0,343.093
549,1,0,370.817
550,1,0,225.045
551,1,0,26.536
552,1,0,58.7365
553,1,0,67.3836
554,1,0,67.3836
555,1,0,50.875
556,1,0,98.4121
557,1,0,67.3836
558,1,0,43.7616
559,1,0,37.3589
560,1,0,67.3836
561,1,0,31.6295
562,1,0,76.8536
563,1,0,50.875
564,1,0,50.875
565,1,0,58.7365
566,1,0,31.6295
567,1,0,18.1071
568,1,0,26.536
569,1,0,31.6295
570,1,0,18.1071
571,1,0,26.536
572,1,0,50.875
573,1,0,76.8536
574,1,0,67.3836
575,1,0,123.711
576,1,0,87.184
577,1,0,67.3836
578,1,0,153.05
579,1,0,110.575
580,1,0,37.3589
581,1,0,43.7616
582,1,0,37.3589
583,1,0,31.6295
584,1,0,43.7616
585,1.04988,0,14.6969
586,31.6295,0,1.399
587,31.6295,0,1
588,37.3589,0,1
589,58.7365,0,1
590,31.6295,0,1
591,76.8536,0,1
592,37.3589,0,1
593,31.6295,0,1
594,43.7616,0,1
595,31.6295,0,1
596,26.536,0,1
597,31.6295,0,1
598,18.1071,0,1
599,43.7616,0,1
600,26.536,0,1
601,58.7365,0,1
602,67.3836,0,1
603,76.8536,0,1
604,50.875,0,1
605,50.875,0,1
606,50.875,0,1
607,58.7365,0,1
608,50.875,0,1
609,87.184,0,1
610,31.6295,0,1
611,26.536,0,1
612,67.3836,0,1
613,58.7365,0,1
614,31.6295,0,1
615,26.536,0,1
616,87.184,0,1
617,43.7616,0,1
618,43.7616,0,1
619,43.7616,0,1
620,50.875,0,1
621,37.3589,0,1
622,26.536,0,1
623,37.3589,0,1
624,11.773,0,1
625,43.7616,0,1
626,11.773,0,1
627,14.6969,0,1
628,14.6969,0,1
629,37.3589,0,1
630,26.536,0,1
631,98.4121,0,1
632,76.8536,0,1
633,31.6295,0,1
634,43.7616,0,1
635,50.875,0,1
636,67.3836,0,1
637,87.184,0,1
638,26.536,0,1
639,37.3589,0,1
640,31.6295,0,1
641,43.7616,0,1
642,26.536,0,1
643,50.875,0,1
644,22.041,0,1
645,37.3589,0,1
646,43.7616,0,1
647,26.536,0,1
648,43.7616,0,1
649,43.7616,0,1
650,43.7616,0,1
651,58.7365,0,1
652,18.1071,0,1
653,22.041,0,1
654,18.1071,0,1
655,14.6969,0,1
656,7.23438,0,1
657,22.041,0,1
658,14.6969,0,1
659,9.29795,0,1
660,58.7365,0,1
661,67.3836,0,1
662,50.875,0,1
663,50.875,0,1
664,43.7616,0,1
665,58.7365,0,1
666,50.875,0,1
667,18.1071,0,1
668,37.3589,0,1
669,14.6969,0,1
670,26.536,0,1
671,7.23438,0,1
672,26.536,0,1
673,14.6969,0,1
674,14.6969,0,1
675,11.773,0,1
676,18.1071,0,1
677,31.6295,0,1
678,18.1071,0,1
679,67.3836,0,1
680,26.536,0,1
681,26.536,0,1
682,9.29795,0,1
683,22.041,0,1
684,31.6295,0,1
685,18.1071,0,1
686,14.6969,0,1
687,9.29795,0,1
688,22.041,0,1
689,37.3589,0,1
690,43.7616,0,1
691,26.536,0,1
692,1,0,1
693,1,0,1
694,1,0,1
695,1,0,1
696,1,0,1
697,1,0,1
698,1,0,1
699,1,0,1
700,1,0,1
701,1,0,1
702,1,0,1
703,1,0,1
704,1,0,1
705,1,0,1
706,1,0,1
707,1,0,1
708,1,0,1
709,1,0,1
710,1,0,1
711,1,0,1
712,1,0,1
713,1,0,1
714,1,0,1
715,1,0,1
716,1,0,1
717,1,0,1
718,1,0,1
719,1,0,1
720,1,0,1
